date,Eastern Rail $ per tonne,Henry Hub ($ per mmBtu),highlight,annotate
09/11/12,65.78,3.503,,
16/11/12,65.53,3.79,,
23/11/12,65.41,3.901,,
30/11/12,64.62,3.561,,
07/12/12,63.68,3.551,,
14/12/12,62.73,3.314,,
21/12/12,62.37,3.451,,
28/12/12,61.43,3.469,,
04/01/13,61.09,3.287,,
11/01/13,60.35,3.327,,
18/01/13,60.38,3.566,,
25/01/13,60.38,3.444,,
01/02/13,59.96,3.301,,
08/02/13,59.27,3.272,,
15/02/13,58.91,3.153,,
22/02/13,59.34,3.291,,
01/03/13,60.35,3.456,,
08/03/13,60.54,3.629,,
15/03/13,60.77,3.872,,
22/03/13,61.05,3.927,,
29/03/13,65.05,4.024,,
05/04/13,64.97,4.125,,
12/04/13,64.95,4.222,,
19/04/13,64.31,4.408,,
26/04/13,64.28,4.152,,
03/05/13,63.59,4.041,,
10/05/13,63.25,3.91,,
17/05/13,62.73,4.055,begin,under investigation
24/05/13,62.37,4.237,,
31/05/13,61.35,3.984,,
07/06/13,60.16,3.828,,
14/06/13,58.52,3.733,,
21/06/13,58.41,3.771,,
28/06/13,56.07,3.565,,
05/07/13,56.74,3.617,,
12/07/13,56.91,3.644,,
19/07/13,57,3.789,,
26/07/13,56.18,3.555,,
02/08/13,55.38,3.347,,
09/08/13,54.84,3.23,,
16/08/13,55.02,3.368,,
23/08/13,54.89,3.485,,
30/08/13,52.53,3.581,,
06/09/13,52.1,3.53,,
13/09/13,53.09,3.677,,
20/09/13,52.63,3.687,,
27/09/13,52.64,3.589,,
04/10/13,52.21,3.506,,
11/10/13,53.41,3.776,,
18/10/13,55.01,3.764,,
25/10/13,55.45,3.707,,
01/11/13,59.41,3.513,,
08/11/13,59.56,3.559,,
15/11/13,59.61,3.66,,
22/11/13,59.57,3.768,,
29/11/13,60.68,3.954,,
06/12/13,64.54,4.114,,
13/12/13,64.36,4.351,,
20/12/13,63.6,4.418,,
27/12/13,66.05,4.407,,
03/01/14,65.38,4.304,,
10/01/14,66.05,4.053,,
17/01/14,65.63,4.326,,
24/01/14,65.5,5.182,end,
31/01/14,65.83,4.943,,
07/02/14,65.13,4.775,,
14/02/14,65.23,5.214,,
21/02/14,65.13,6.135,,
28/02/14,62.15,4.609,,
07/03/14,59.93,4.618,,
14/03/14,59.5,4.425,,
21/03/14,59.05,4.313,,
28/03/14,59.68,4.485,,
04/04/14,59.85,4.439,,
11/04/14,60.13,4.62,,
18/04/14,60.88,4.741,,
25/04/14,60.7,4.647,,
02/05/14,60.25,4.674,,
09/05/14,61.23,4.531,,
16/05/14,60.4,4.413,,
23/05/14,60.35,4.405,,
30/05/14,59.1,4.542,,
06/06/14,59.6,4.71,,
13/06/14,58.98,4.739,,
20/06/14,59.18,4.531,,
27/06/14,58.5,4.409,,
04/07/14,58.32,4.406,,
11/07/14,58.37,4.146,,
18/07/14,58.25,3.951,,
25/07/14,58.03,3.781,,
01/08/14,56.28,3.798,,
08/08/14,56.23,3.962,,
15/08/14,56.43,3.776,,
22/08/14,56.43,3.84,,
29/08/14,55.01,4.065,,
05/09/14,53.48,3.793,,
12/09/14,53.62,3.857,,
19/09/14,53.65,3.837,,
26/09/14,53.73,3.984,,
03/10/14,53.88,4.039,,
10/10/14,53.48,3.859,,
17/10/14,53.29,3.766,,
24/10/14,53.55,3.623,,
31/10/14,53.42,3.873,,
07/11/14,52.87,4.412,,
14/11/14,52.67,4.02,,
21/11/14,52.72,4.266,,
28/11/14,54.03,4.088,,
05/12/14,52.72,3.802,,
12/12/14,51.48,3.795,,
19/12/14,51.75,3.464,,
26/12/14,50.2,3.007,,
02/01/15,50,3.003,,
09/01/15,49.82,2.946,,
16/01/15,50.02,3.127,,
23/01/15,48.82,2.986,,
30/01/15,45.93,2.691,,
06/02/15,46.42,2.579,,
13/02/15,45.52,2.804,,
20/02/15,45.37,2.951,,
27/02/15,46.22,2.734,,
06/03/15,45.93,2.839,,
13/03/15,44.85,2.727,,
20/03/15,45.38,2.786,,
27/03/15,44.58,2.59,,
03/04/15,44.87,2.713,,
10/04/15,45.32,2.511,,
17/04/15,45.4,2.634,,
24/04/15,45.1,2.531,,
01/05/15,45.13,2.776,,
08/05/15,45.28,2.88,,
15/05/15,45.33,3.016,,
22/05/15,44.38,2.887,,
29/05/15,42.42,2.642,,
05/06/15,41.87,2.59,,
12/06/15,38.82,2.75,,
19/06/15,40.78,2.816,,
26/06/15,41.28,2.773,,
03/07/15,41.33,2.822,,
10/07/15,42.06,2.77,,
17/07/15,42.33,2.87,,
24/07/15,42.27,2.776,,
31/07/15,43.73,2.716,,
07/08/15,43.79,2.798,,
14/08/15,44,2.801,,
21/08/15,44.19,2.676,,
28/08/15,43.88,2.715,,
04/09/15,44.03,2.655,,
11/09/15,43.78,2.693,,
18/09/15,43.53,2.605,,
25/09/15,43,2.564,,
02/10/15,37.24,2.451,,
09/10/15,36.08,2.502,,
16/10/15,36.7,2.43,,
23/10/15,36.81,2.286,,
30/10/15,36.62,2.321,,
06/11/15,37.33,2.371,,
13/11/15,37.58,2.361,,
20/11/15,39.63,2.145,,
27/11/15,40.35,2.212,,
04/12/15,39.55,2.186,,
11/12/15,40.28,1.99,,
18/12/15,39.65,1.767,,
25/12/15,39.04,2.029,,
01/01/16,37.75,2.337,,
08/01/16,38.99,2.472,,
15/01/16,38.43,2.1,,
22/01/16,38.83,2.139,,
29/01/16,38,2.298,,
05/02/16,36.94,2.063,,
12/02/16,37.06,1.966,,
19/02/16,37.1,1.804,,
26/02/16,37.15,1.791,,
04/03/16,37.37,1.666,,
11/03/16,38.02,1.822,,
18/03/16,37.69,1.907,,
25/03/16,37.43,1.806,,
01/04/16,37.41,1.956,,
08/04/16,35.3,1.99,,
15/04/16,35.45,1.902,,
22/04/16,35.45,2.14,,
29/04/16,34.35,2.178,,
06/05/16,34.33,2.101,,
13/05/16,33.99,2.096,,
20/05/16,33.81,2.062,,
27/05/16,33.28,2.169,,
03/06/16,33.77,2.398,,
10/06/16,36.76,2.556,,
17/06/16,37.56,2.623,,
24/06/16,36.18,2.662,,
01/07/16,37.5,2.987,,
08/07/16,38.43,2.801,,
15/07/16,39.55,2.756,,
22/07/16,39.57,2.777,,
29/07/16,43.08,2.876,,
05/08/16,44.14,2.772,,
12/08/16,45.3,2.586,,
19/08/16,45,2.584,,
26/08/16,44.8,2.871,,
02/09/16,46,2.792,,
09/09/16,46,2.797,,
16/09/16,48.2,2.948,,
23/09/16,51.5,2.955,,
30/09/16,56.74,2.906,,
07/10/16,57.4,3.193,,
14/10/16,56.1,3.285,,
21/10/16,57.2,2.993,,
28/10/16,61.1,3.105,,
04/11/16,63.1,2.767,,
11/11/16,61.7,2.619,,
18/11/16,60.45,2.843,,
25/11/16,60.35,3.085,,
02/12/16,53.1,3.436,,
09/12/16,54.15,3.746,,
16/12/16,54.95,3.415,,
23/12/16,55.1,3.662,,
30/12/16,58.2,3.724,,
06/01/17,55.1,3.285,,
13/01/17,56.65,3.419,,
20/01/17,59,3.204,,
27/01/17,57.6,3.391,,
03/02/17,58.35,3.063,,
10/02/17,59.15,3.034,,
17/02/17,56.8,2.834,,
24/02/17,57.1,2.627,,
03/03/17,53.2,2.827,,
10/03/17,53.1,3.008,,
17/03/17,52.95,2.948,,
24/03/17,52.85,3.076,,
31/03/17,52,3.19,,
07/04/17,51.45,3.261,,
14/04/17,51.45,3.227,,
21/04/17,51.3,3.101,,
28/04/17,50.4,3.276,,
05/05/17,50.65,3.266,,
12/05/17,50.65,3.424,,
19/05/17,50.05,3.256,,
26/05/17,54.4,3.236,,
02/06/17,54.3,2.999,,
09/06/17,54.4,3.039,,
16/06/17,54.15,3.037,,
23/06/17,54.3,2.929,,
30/06/17,53.85,3.035,,
07/07/17,55.05,2.864,,
14/07/17,55.85,2.98,,
21/07/17,56.05,2.97,,
28/07/17,55.75,2.941,,
04/08/17,54.75,2.774,,
11/08/17,55.75,2.983,,
18/08/17,56.45,2.893,,
21/08/17,55.95,2.931,,
