name,radius,value,category,colour,label,type
AKAMAI TECHS.,9.9,-6.1,S&P 500,,,
ALASKA AIR GROUP,7.5,-17.2,S&P 500,,,
ALBEMARLE,8.2,-39.7,S&P 500,,,
ALEXANDRIA RLST.EQTIES.,12.4,-11.8,S&P 500,,,
ALEXION PHARMS.,21.7,-18.6,S&P 500,,,
ALIGN TECHNOLOGY,16.8,-5.7,S&P 500,,,
ALLEGION,7.6,0.2,S&P 500,,,
ALLERGAN,45.1,-18.3,S&P 500,,,
ALLIANCE DATA SYSTEMS,8.2,-40.8,S&P 500,,,
ALLIANT ENERGY (XSC),10,-0.8,S&P 500,,,
ALLSTATE,28.5,-21.1,S&P 500,,,
ALPHABET A,723.5,-0.8,S&P 500,,yes,
ALTRIA GROUP,92.8,-30.8,S&P 500,,,
AMAZON.COM,734.4,28.4,S&P 500,,yes,
AMER.ELEC.PWR.,36.9,1.6,S&P 500,,,
AMEREN,15.9,10.6,S&P 500,,,
AMERICAN AIRLINES GROUP,14.8,-38.3,S&P 500,,,
AMERICAN EXPRESS,81.4,-4,S&P 500,,,
AMERICAN INTL.GP.,34.9,-33.9,S&P 500,,,
AMERICAN TOWER,69.7,10.9,S&P 500,,,
AMERICAN WATER WORKS,16.4,-0.8,S&P 500,,,
AMERIPRISE FINL.,14.5,-38.4,S&P 500,,,
AMERISOURCEBERGEN,15.8,-19,S&P 500,,,
AMETEK,15.7,-6.6,S&P 500,,,
AMGEN,124,11.9,S&P 500,,,
AMPHENOL 'A',24.4,-7.7,S&P 500,,,
ANADARKO PETROLEUM,22.1,-18.3,S&P 500,,,
ANALOG DEVICES,31.8,-3.6,S&P 500,,,
ANSYS,11.9,-3.2,S&P 500,,,
ANTHEM,67.9,16.7,S&P 500,,,
AON CLASS A,35,8.5,S&P 500,,,
APACHE,10,-37.8,S&P 500,,,
APARTMENT INV.& MAN.'A',6.8,0.4,S&P 500,,,
APPLE,748.5,-6.8,S&P 500,,yes,
APPLIED MATS.,31.4,-36,S&P 500,,,
APTIV,16.2,-27.4,S&P 500,,,
ARCHER DANIELS MIDLAND,23,2.2,S&P 500,,,
ARCONIC,8.2,-38.1,S&P 500,,,
ARISTA NETWORKS,15.9,-10.6,S&P 500,,,
ARTHUR J GALLAGHER,13.5,16.5,S&P 500,,,
ASSURANT,5.6,-11.3,S&P 500,,,
AT&T,207.7,-26.6,S&P 500,,,
AUTODESK,28.2,22.7,S&P 500,,,
AUTOMATIC DATA PROC.,57.4,11.9,S&P 500,,,
AUTOZONE,21.1,17.8,S&P 500,,,
AVALONBAY COMMNS.,24.1,-2.4,S&P 500,,,
AVERY DENNISON,7.8,-21.8,S&P 500,,,
BAKER HUGHES A,26,-32,S&P 500,,,
BALL,15.6,21.5,S&P 500,,,
BANK OF AMERICA,243.9,-16.5,S&P 500,,,
BANK OF NEW YORK MELLON,46.5,-12.6,S&P 500,,,
BAXTER INTL.,35,1.8,S&P 500,,,
BB&T,33.4,-12.9,S&P 500,,,
BECTON DICKINSON,60.7,5.3,S&P 500,,,
BERKSHIRE HATHAWAY 'B',502.6,3,S&P 500,,,
BEST BUY,14.3,-22.7,S&P 500,,,
BIOGEN,60.6,-5.5,S&P 500,,,
BLACKROCK,62,-23.5,S&P 500,,,
BOEING,183.1,9.4,S&P 500,,,
BOOKING HOLDINGS,79.8,-0.9,S&P 500,,,
BORGWARNER,7.2,-32,S&P 500,,,
BOSTON PROPERTIES,17.4,-13.4,S&P 500,,,
BOSTON SCIENTIFIC,48.9,42.6,S&P 500,,,
BRIGHTHOUSE FINANCIAL,3.6,-48,S&P 500,,,
BRISTOL MYERS SQUIBB,84.8,-15.2,S&P 500,,,
BROADCOM,103.6,-1,S&P 500,,,
BROADRIDGE FINL.SLTN.,11.2,6.3,S&P 500,,,
BROWN-FORMAN 'B',22.7,-13.4,S&P 500,,,
CABOT OIL & GAS 'A',9.6,-21.9,S&P 500,,,
CADENCE DESIGN SYS.,12.3,4,S&P 500,,,
CAMPBELL SOUP,9.9,-31.4,S&P 500,,,
CAPITAL ONE FINL.,35.8,-24.1,S&P 500,,,
CAPRI HOLDINGS,5.7,-39.8,S&P 500,,,
CARDINAL HEALTH,13.3,-27.2,S&P 500,,,
CARMAX,10.8,-2.2,S&P 500,,,
CARNIVAL,34,-25.7,S&P 500,,,
CATERPILLAR,75,-19.4,S&P 500,,,
CBOE GLOBAL MARKETS,11,-21.5,S&P 500,,,
CBRE GROUP CLASS A,13.6,-7.6,S&P 500,,,
CBS 'B',16.4,-25.9,S&P 500,,,
CELANESE,12,-16,S&P 500,,,
CELGENE,44.8,-38.6,S&P 500,,,
CENTENE,23.8,14.3,S&P 500,,,
CENTERPOINT EN.,15.1,-0.5,S&P 500,,,
CENTURYLINK,16.4,-9.2,S&P 500,,,
CERNER,17.3,-22.2,S&P 500,,,
CF INDUSTRIES HDG.,10,2.3,S&P 500,,,
CH ROBINSON WWD.,11.6,-5.6,S&P 500,,,
CHARLES SCHWAB,56.1,-19.2,S&P 500,,,
CHARTER COMMS.CL.A,65.2,-15.2,S&P 500,,,
CHEVRON,207.9,-13.1,S&P 500,,,
CHIPOTLE MEXN.GRILL,12,49.4,S&P 500,,,
CHUBB,59.5,-11.6,S&P 500,,,
CHURCH & DWIGHT CO.,16.2,31.1,S&P 500,,,
CIGNA,72.3,-6.5,S&P 500,,,
CIMAREX EN.,5.9,-49.5,S&P 500,,,
CINCINNATI FINL.,12.6,3.3,S&P 500,,,
CINTAS,17.9,7.8,S&P 500,,,
CISCO SYSTEMS,194.8,13.1,S&P 500,,,
CITIGROUP,127.1,-30,S&P 500,,,
CITIZENS FINANCIAL GROUP,13.9,-29.2,S&P 500,,,
CITRIX SYS.,13.8,16.4,S&P 500,,,
CLOROX,19.7,3.6,S&P 500,,,
CME GROUP,67.3,28.8,S&P 500,,,
CMS ENERGY,14.1,5,S&P 500,,,
COCA COLA,201.5,3.2,S&P 500,,,
COGNIZANT TECH.SLTN.'A',36.8,-10.6,S&P 500,,,
COLGATE-PALM.,51.6,-21.1,S&P 500,,,
COMCAST A,155.2,-15,S&P 500,,,
COMERICA,11.1,-20.9,S&P 500,,,
CONAGRA BRANDS,10.4,-43.3,S&P 500,,,
CONCHO RESOURCES,20.6,-31.6,S&P 500,,,
CONOCOPHILLIPS,71.8,13.6,S&P 500,,,
CONSOLIDATED EDISON,23.8,-10,S&P 500,,,
CONSTELLATION BRANDS 'A',30.6,-29.6,S&P 500,,,
COOPER COS.,12.5,16.8,S&P 500,,,
COPART,11.2,10.6,S&P 500,,,
CORNING,24.2,-5.6,S&P 500,,,
COSTCO WHOLESALE,89.7,9.5,S&P 500,,,
COTY CL.A,4.9,-67,S&P 500,,yes,
CROWN CASTLE INTL.,45.1,-2.1,S&P 500,,,
CSX,52.5,12.9,S&P 500,,,
CUMMINS,21.5,-24.3,S&P 500,,,
CVS HEALTH,84.7,-9.6,S&P 500,,,
D R HORTON,13,-32.1,S&P 500,,,
DANAHER,72.3,11.1,S&P 500,,,
DARDEN RESTAURANTS,12.4,4,S&P 500,,,
DAVITA,8.5,-28.8,S&P 500,,,
DEERE,47.5,-4.7,S&P 500,,,
DELTA AIR LINES,34.2,-10.9,S&P 500,,,
DENTSPLY SIRONA,8.3,-43.5,S&P 500,,,
DEVON ENERGY,10.6,-45.6,S&P 500,,,
DIAMONDBACK ENERGY,9.4,-26.6,S&P 500,,,
DIGITAL REALTY TST.,22,-6.5,S&P 500,,,
DISCOVER FINANCIAL SVS.,19.8,-23.3,S&P 500,,,
DISCOVERY SERIES A,12.4,10.5,S&P 500,,,
DISCOVERY SERIES C,12.4,9,S&P 500,,,
DISH NETWORK 'A',11.7,-47.7,S&P 500,,,
DOLLAR GENERAL,28.4,16.2,S&P 500,,,
DOLLAR TREE,21.5,-15.8,S&P 500,,,
DOMINION ENERGY,46.9,-11.8,S&P 500,,,
DOVER,10.4,-13,S&P 500,,,
DOWDUPONT,122.7,-24.9,S&P 500,,,
DTE ENERGY,20.1,0.8,S&P 500,,,
DUKE ENERGY,61.5,2.6,S&P 500,,,
DUKE REALTY,9.3,-4.8,S&P 500,,,
DXC TECHNOLOGY,14.9,-35.2,S&P 500,,,
E*TRADE FINANCIAL,11.2,-11.5,S&P 500,,,
EASTMAN CHEMICAL,10.2,-21.1,S&P 500,,,
EATON,29.8,-13.1,S&P 500,,,
EBAY,27,-25.6,S&P 500,,,
ECOLAB,42.6,9.8,S&P 500,,,
EDISON INTL.,18.5,-10.2,S&P 500,,,
EDWARDS LIFESCIENCES,32,35.9,S&P 500,,,
ELECTRONIC ARTS,23.8,-24.9,S&P 500,,,
ELI LILLY,122.6,37,S&P 500,,,
EMERSON ELECTRIC,37.4,-14.3,S&P 500,,,
ENTERGY,15.6,5.8,S&P 500,,,
EOG RES.,50.6,-19.2,S&P 500,,,
EQUIFAX,11.2,-21,S&P 500,,,
EQUINIX REIT,28.3,-22.2,S&P 500,,,
EQUITY RESD.TST.PROPS. SHBI,24.3,3.5,S&P 500,,,
ESSEX PROPERTY TST.,16.2,1.6,S&P 500,,,
ESTEE LAUDER COS.'A',47.3,2.2,S&P 500,,,
EVEREST RE GP.,8.9,-1.6,S&P 500,,,
EVERGY,15,7.5,S&P 500,,,
EVERSOURCE ENERGY,20.6,2.9,S&P 500,,,
EXELON,43.6,14.4,S&P 500,,,
EXPEDIA GROUP,16.8,-5.9,S&P 500,,,
EXPEDITOR INTL.OF WASH.,11.8,5.3,S&P 500,,,
EXTRA SPACE STRG.,11.4,3.5,S&P 500,,,
EXXON MOBIL,288.7,-18.5,S&P 500,,,
F5 NETWORKS,9.8,23.5,S&P 500,,,
FACEBOOK CLASS A,376.7,-25.7,S&P 500,,yes,
FASTENAL,15,-4.4,S&P 500,,,
FEDERAL REALTY INV.TST.,8.7,-11.1,S&P 500,,,
FEDEX,42.1,-35.3,S&P 500,,,
FIDELITY NAT.INFO.SVS.,33.6,9,S&P 500,,,
FIFTH THIRD BANCORP,15.4,-22.4,S&P 500,,,
FIRSTENERGY,19.2,22.6,S&P 500,,,
FISERV,29.3,12.1,S&P 500,,,
FLEETCOR TECHNOLOGIES,22.8,-3.5,S&P 500,,,
FLIR SYSTEMS,6,-6.6,S&P 500,,,
FLOWSERVE,5,-9.8,S&P 500,,,
FLUOR,4.5,-37.7,S&P 500,,,
FMC,10,-21.9,S&P 500,,,
FOOT LOCKER,6,13.5,S&P 500,,,
FORD MOTOR,30.4,-38.8,S&P 500,,,
FORTINET,12,61.2,S&P 500,,,
FORTIVE,23.8,-6.5,S&P 500,,,
FORTUNE BNS.HM.& SCTY.,5.4,-44.5,S&P 500,,,
FRANKLIN RESOURCES,15.2,-31.5,S&P 500,,,
FREEPORT-MCMORAN,14.9,-45.6,S&P 500,,,
GAP,9.8,-24.4,S&P 500,,,
GARMIN,12.5,6.3,S&P 500,,,
GARTNER 'A',11.6,3.8,S&P 500,,,
GENERAL DYNAMICS,46.6,-22.7,S&P 500,,,
GENERAL ELECTRIC,65.8,-56.6,S&P 500,,yes,
GENERAL MILLS,23.2,-34.3,S&P 500,,,
GENERAL MOTORS,47.2,-18.4,S&P 500,,,
GENUINE PARTS,14.1,1.1,S&P 500,,,
GILEAD SCIENCES,80.9,-12.7,S&P 500,,,
GLOBAL PAYMENTS,16.3,2.9,S&P 500,,,
GOLDMAN SACHS GP.,62.1,-34.4,S&P 500,,yes,
GOODYEAR TIRE & RUB.,4.8,-36.8,S&P 500,,,
H&R BLOCK,5.2,-3.2,S&P 500,,,
HALLIBURTON,23.3,-45.6,S&P 500,,,
HANESBRANDS,4.5,-40.1,S&P 500,,,
HARLEY-DAVIDSON,5.6,-32.9,S&P 500,,,
HARRIS,15.8,-4.9,S&P 500,,,
HARTFORD FINL.SVS.GP.,16.3,-21,S&P 500,,,
HASBRO,10.3,-10.6,S&P 500,,,
HCA HEALTHCARE,42.8,41.7,S&P 500,,,
HCP,13.3,7.1,S&P 500,,,
HELMERICH & PAYNE,5.2,-25.8,S&P 500,,,
HENRY SCHEIN,12,12.4,S&P 500,,,
HERSHEY,21.8,-5.6,S&P 500,,,
HESS,12,-14.7,S&P 500,,,
HEWLETT PACKARD ENTER.,18.5,-8,S&P 500,,,
HILTON WORLDWIDE HDG.,21.3,-10.1,S&P 500,,,
HNTGTN.INGALLS INDS.,8.2,-19.3,S&P 500,,,
HOLLYFRONTIER,8.9,-0.2,S&P 500,,,
HOLOGIC,11.9,-3.9,S&P 500,,,
HOME DEPOT,194.1,-9.3,S&P 500,,,
HONEYWELL INTL.,98.1,-10,S&P 500,,,
HORMEL FOODS,22.8,17.3,S&P 500,,,
HOST HOTELS & RESORTS,12.4,-16,S&P 500,,,
HP,31.8,-2.6,S&P 500,,,
HUMANA,39.3,15.5,S&P 500,,,
HUNT JB TRANSPORT SVS.,10.2,-19.1,S&P 500,,,
HUNTINGTON BCSH.,12.7,-18.1,S&P 500,,,
IDEXX LABORATORIES,16,19,S&P 500,,,
IHS MARKIT,18.9,6.2,S&P 500,,,
ILLINOIS TOOL WORKS,42,-24.1,S&P 500,,,
ILLUMINA,44.1,37.3,S&P 500,,,
INCYTE,13.5,-32.9,S&P 500,,,
INGERSOLL-RAND,22.4,2.3,S&P 500,,,
INTEL,214.2,1.7,S&P 500,,,
INTERCONTINENTAL EX.,42.9,6.8,S&P 500,,,
INTERNATIONAL BUS.MCHS.,103.3,-25.9,S&P 500,,,
INTERNATIONAL PAPER,16.3,-30.3,S&P 500,,,
INTERPUBLIC GROUP,7.9,2.3,S&P 500,,,
INTL.FLAVORS & FRAG.,15.1,-12,S&P 500,,,
INTUIT,51.1,24.8,S&P 500,,,
INTUITIVE SURGICAL,54.7,31.2,S&P 500,,,
INVESCO,6.9,-54.2,S&P 500,,,
IPG PHOTONICS,6,-47.1,S&P 500,,,
IQVIA HOLDINGS,23.2,18.7,S&P 500,,,
IRON MOUNTAIN,9.3,-14.1,S&P 500,,,
J M SMUCKER,10.6,-24.8,S&P 500,,,
JACK HENRY & ASSOCS.,9.8,8.2,S&P 500,,,
JACOBS ENGR.,8.3,-11.4,S&P 500,,,
JEFFERIES FINANCIAL GROUP,5.6,-34.5,S&P 500,,,
JOHNSON & JOHNSON,346.1,-7.6,S&P 500,,,
JOHNSON CONTROLS INTL.,27.4,-22.2,S&P 500,,,
JP MORGAN CHASE & CO.,328,-8.7,S&P 500,,,
JUNIPER NETWORKS,9.3,-5.6,S&P 500,,,
KANSAS CITY SOUTHERN,9.7,-9.3,S&P 500,,,
KELLOGG,19.8,-16.1,S&P 500,,,
KEYCORP,15.7,-26.7,S&P 500,,,
KEYSIGHT TECHNOLOGIES,11.6,49.2,S&P 500,,,
KIMBERLY-CLARK,39.5,-5.6,S&P 500,,,
KIMCO REALTY,6.2,-19.3,S&P 500,,,
KINDER MORGAN,33.9,-14.9,S&P 500,,,
KLA TENCOR,13.7,-14.8,S&P 500,,,
KOHL'S,11,22.3,S&P 500,,,
KRAFT HEINZ,52.5,-44.7,S&P 500,,,
KROGER,21.9,0.2,S&P 500,,,
L BRANDS,7.1,-57.4,S&P 500,,,
L3 TECHNOLOGIES,13.7,-12.2,S&P 500,,,
LABORATORY CORP.OF AM. HDG.,12.7,-20.8,S&P 500,,,
LAM RESEARCH,21.1,-26,S&P 500,,,
LAMB WESTON HOLDINGS,10.8,30.3,S&P 500,,,
LEGGETT&PLATT,4.7,-24.9,S&P 500,,,
LENNAR 'A',12.6,-38.1,S&P 500,,,
LINCOLN NATIONAL,11,-33.3,S&P 500,,,
LINDE,87.1,0.9,S&P 500,,,
LKQ,7.6,-41.7,S&P 500,,,
LOCKHEED MARTIN,74.5,-18.4,S&P 500,,,
LOEWS,14.3,-9,S&P 500,,,
LOWE'S COMPANIES,74.2,-0.6,S&P 500,,,
LYONDELLBASELL INDS.CL.A,31.9,-24.6,S&P 500,,,
M&T BANK,20.1,-16.3,S&P 500,,,
MACERICH,6.1,-34.1,S&P 500,,,
MACY'S,9.2,18.2,S&P 500,,,
MARATHON OIL,11.9,-15.3,S&P 500,,,
MARATHON PETROLEUM,40.8,-10.6,S&P 500,,,
MARRIOTT INTL.'A',37,-20,S&P 500,,,
MARSH & MCLENNAN,40.2,-2,S&P 500,,,
MARTIN MRTA.MATS.,10.8,-22.2,S&P 500,,,
MASCO,8.9,-33.5,S&P 500,,,
MASTERCARD,194.9,24.6,S&P 500,,,
MATTEL,3.4,-35,S&P 500,,,
MAXIM INTEGRATED PRDS.,14.1,-2.7,S&P 500,,,
MCCORMICK & COMPANY NV.,18.3,36.6,S&P 500,,,
MCDONALDS,136.9,3.2,S&P 500,,,
MCKESSON,21.6,-29.2,S&P 500,,,
MEDTRONIC,122.2,12.6,S&P 500,,,
MERCK & COMPANY,198.7,35.8,S&P 500,,,
METLIFE,41.3,-18.8,S&P 500,,,
METTLER TOLEDO INTL.,14.2,-8.7,S&P 500,,,
MGM RESORTS INTL.,12.8,-27.3,S&P 500,,,
MICROCHIP TECH.,17,-18.2,S&P 500,,,
MICRON TECHNOLOGY,35.6,-22.8,S&P 500,,,
MICROSOFT,779.7,18.7,S&P 500,,yes,
MID-AMER.APT COMMUNITIES,10.9,-4.8,S&P 500,,,
MOHAWK INDUSTRIES,8.7,-57.6,S&P 500,,yes,
MOLSON COORS BREWING 'B',12.2,-31.6,S&P 500,,,
MONDELEZ INTERNATIONAL CL.A,58.2,-6.5,S&P 500,,,
MONSTER BEVERAGE,27.2,-22.2,S&P 500,,,
MOODY'S,26.8,-5.1,S&P 500,,,
MORGAN STANLEY,68.2,-24.4,S&P 500,,,
MOSAIC,11.3,13.8,S&P 500,,,
MOTOROLA SOLUTIONS,18.8,27.3,S&P 500,,,
MSCI,13,16.5,S&P 500,,,
MYLAN,14.1,-35.2,S&P 500,,,
NASDAQ,13.4,6.2,S&P 500,,,
NATIONAL OILWELL VARCO,9.9,-28.7,S&P 500,,,
NEKTAR THERAPEUTICS,5.7,-45,S&P 500,,,
NETAPP,15,7.9,S&P 500,,,
NETFLIX,116.7,39.4,S&P 500,,,
NEWELL BRANDS (XSC),8.7,-39.8,S&P 500,,,
NEWFIELD EXPLORATION,2.9,-53.5,S&P 500,,,
NEWMONT MINING,18.5,-7.6,S&P 500,,,
NEWS 'A',6.7,-30,S&P 500,,,
NEWS 'B',6.7,-30.4,S&P 500,,,
NEXTERA ENERGY,83.1,11.3,S&P 500,,,
NIELSEN,8.3,-35.9,S&P 500,,,
NIKE 'B',118.1,18.5,S&P 500,,,
NISOURCE,9.4,-1.2,S&P 500,,,
NOBLE ENERGY,9,-35.6,S&P 500,,,
NORDSTROM,7.8,-1.6,S&P 500,,,
NORFOLK SOUTHERN,40.7,3.2,S&P 500,,,
NORTHERN TRUST,18.5,-16.3,S&P 500,,,
NORTHROP GRUMMAN,42.5,-20.2,S&P 500,,,
NORWEGIAN CRUISE LINE HDG.,9.4,-20.4,S&P 500,,,
NRG ENERGY,12,39,S&P 500,,,
NUCOR,16.3,-18.5,S&P 500,,,
NVIDIA,81.4,-31,S&P 500,,,
O REILLY AUTOMOTIVE,27.6,43.1,S&P 500,,,
OCCIDENTAL PTL.,46.3,-16.7,S&P 500,,,
OMNICOM GROUP,16.4,0.6,S&P 500,,,
ONEOK,22.2,0.9,S&P 500,,,
ORACLE,162,-4.5,S&P 500,,,
PACCAR,20,-19.6,S&P 500,,,
PACKAGING CORP.OF AM.,7.9,-30.8,S&P 500,,,
PARKER-HANNIFIN,19.7,-25.3,S&P 500,,,
PAYCHEX,23.4,-4.3,S&P 500,,,
PAYPAL HOLDINGS,99.1,14.2,S&P 500,,,
PENTAIR,6.6,-20.3,S&P 500,,,
PEOPLES UNITED FINANCIAL,5.4,-22.8,S&P 500,,,
PEPSICO,156,-7.9,S&P 500,,,
PERKINELMER,8.7,7.4,S&P 500,,,
PERRIGO,5.3,-55.5,S&P 500,,,
PFIZER,253.2,20.5,S&P 500,,,
PG&E,12.3,-47,S&P 500,,,
PHILIP MORRIS INTL.,103.8,-36.8,S&P 500,,,
PHILLIPS 66,39.7,-14.8,S&P 500,,,
PINNACLE WEST CAP.,9.5,0,S&P 500,,,
PIONEER NTRL.RES.,22.4,-23.9,S&P 500,,,
PNC FINL.SVS.GP.,53.9,-19,S&P 500,,,
PPG INDUSTRIES,24.5,-12.5,S&P 500,,,
PPL,20.4,-8.5,S&P 500,,,
PRINCIPAL FINL.GP.,12.5,-37.4,S&P 500,,,
PROCTER & GAMBLE,229,0,S&P 500,,,
PROGRESSIVE OHIO,35.2,7.1,S&P 500,,,
PROLOGIS,37,-9,S&P 500,,,
PRUDENTIAL FINL.,33.8,-29.1,S&P 500,,,
PUB.SER.ENTER.GP.,26.3,1.1,S&P 500,,,
PUBLIC STORAGE,35.3,-3.2,S&P 500,,,
PULTEGROUP,7.3,-21.8,S&P 500,,,
PVH,7,-32.3,S&P 500,,,
QORVO,7.6,-8.8,S&P 500,,,
QUALCOMM,69,-11.1,S&P 500,,,
QUANTA SERVICES,4.4,-23,S&P 500,,,
QUEST DIAGNOSTICS,11.3,-15.5,S&P 500,,,
RALPH LAUREN CL.A,8.3,-0.2,S&P 500,,,
RAYMOND JAMES FINL.,10.7,-16.7,S&P 500,,,
RAYTHEON 'B',43.6,-18.4,S&P 500,,,
REALTY INCOME,18.6,10.6,S&P 500,,,
RED HAT,30.9,46.2,S&P 500,,,
REGENCY CENTERS,9.9,-15.2,S&P 500,,,
REGENERON PHARMS.,40.4,-0.7,S&P 500,,,
REGIONS FINL.NEW,13.8,-22.6,S&P 500,,,
REPUBLIC SVS.'A',23.4,6.6,S&P 500,,,
RESMED,16.2,34.5,S&P 500,,,
ROBERT HALF INTL.,6.9,3,S&P 500,,,
ROCKWELL AUTOMATION,18.2,-23.4,S&P 500,,,
ROLLINS,11.8,16.4,S&P 500,,,
ROPER TECHNOLOGIES,27.6,2.9,S&P 500,,,
ROSS STORES,30.8,3.7,S&P 500,,,
ROYAL CARIBBEAN CRUISES,20.4,-18,S&P 500,,,
S&P GLOBAL,42.6,0.3,S&P 500,,,
SALESFORCE.COM,104.8,34,S&P 500,,,
SBA COMMS.,18.3,-0.9,S&P 500,,,
SCANA DEAD - DELIST.02/01/19,6.8,20.1,S&P 500,,,
SCHLUMBERGER,50,-46.5,S&P 500,,,
SEAGATE TECH.,11,-7.8,S&P 500,,,
SEALED AIR,5.5,-29.3,S&P 500,,,
SEMPRA EN.,30.2,1.2,S&P 500,,,
SHERWIN-WILLIAMS,36.8,-4,S&P 500,,,
SIMON PROPERTY GROUP,52,-2.2,S&P 500,,,
SKYWORKS SOLUTIONS,11.9,-29.4,S&P 500,,,
SL GREEN REALTY,6.7,-21.6,S&P 500,,,
SMITH (AO),7.3,-30.3,S&P 500,,,
SNAP-ON,8.1,-16.6,S&P 500,,,
SOUTHERN,45.2,-8.7,S&P 500,,,
SOUTHWEST AIRLINES,26.1,-29,S&P 500,,,
STANLEY BLACK & DECKER,18.1,-29.4,S&P 500,,,
STARBUCKS,79.9,12.1,S&P 500,,,
STATE STREET,23.9,-35.4,S&P 500,,,
STRYKER,58.7,1.2,S&P 500,,,
SUNTRUST BANKS,22.7,-21.9,S&P 500,,,
SVB FINANCIAL GROUP,10.1,-18.8,S&P 500,,,
SYMANTEC,12.1,-32.7,S&P 500,,,
SYNCHRONY FINANCIAL,16.9,-39.2,S&P 500,,,
SYNOPSYS,12.6,-1.2,S&P 500,,,
SYSCO,32.6,3.2,S&P 500,,,
T ROWE PRICE GROUP,22.2,-12,S&P 500,,,
TAKE TWO INTACT.SFTW.,11.7,-6.2,S&P 500,,,
TAPESTRY,9.8,-23.7,S&P 500,,,
TARGET,34.5,1.3,S&P 500,,,
TE CONNECTIVITY,25.9,-20.4,S&P 500,,,
TECHNIPFMC,8.8,-37.5,S&P 500,,,
TEXAS INSTRUMENTS,90.8,-9.5,S&P 500,,,
TEXTRON,11.2,-18.7,S&P 500,,,
THERMO FISHER SCIENTIFIC,90.1,17.9,S&P 500,,,
TIFFANY & CO,9.8,-22.5,S&P 500,,,
TJX,55.2,17,S&P 500,,,
TORCHMARK,8.3,-17.8,S&P 500,,,
TOTAL SYSTEM SERVICES,14.8,2.8,S&P 500,,,
TRACTOR SUPPLY,10.2,11.6,S&P 500,,,
TRANSDIGM GROUP,17.9,23.8,S&P 500,,,
TRAVELERS COS.,31.7,-11.7,S&P 500,,,
TRIPADVISOR 'A',7.4,56.5,S&P 500,,,
TWENTY-FIRST CENTURY FOX CL.A,89,39.4,S&P 500,,,
TWITTER,21.9,19.7,S&P 500,,,
TYSON FOODS 'A',19.5,-34.1,S&P 500,,,
UDR,10.9,2.9,S&P 500,,,
ULTA BEAUTY,14.5,9.5,S&P 500,,,
UNDER ARMOUR A,7.6,22.5,S&P 500,,,
UNION PACIFIC,101.8,3.1,S&P 500,,,
UNITED CONTINENTAL HOLDINGS,22.8,24.2,S&P 500,,,
UNITED PARCEL SER.'B',83.9,-18.1,S&P 500,,,
UNITED RENTALS,8.3,-40.4,S&P 500,,,
UNITED TECHNOLOGIES,91.9,-16.5,S&P 500,,,
UNITEDHEALTH GROUP,239.7,13,S&P 500,,,
UNIVERSAL HEALTH SVS.'B',10.8,2.8,S&P 500,,,
UNUM GROUP,6.4,-46.5,S&P 500,,,
US BANCORP,74.4,-14.7,S&P 500,,,
V F,28.3,-3.6,S&P 500,,,
VALERO ENERGY,31.8,-18.4,S&P 500,,,
VARIAN MEDICAL SYSTEMS,10.3,1.9,S&P 500,,,
VENTAS,20.9,-2.4,S&P 500,,,
VERISIGN,17.9,29.6,S&P 500,,,
VERISK ANALYTICS CL.A,18,13.6,S&P 500,,,
VERIZON COMMUNICATIONS,232.3,6.2,S&P 500,,,
VERTEX PHARMS.,42.3,10.6,S&P 500,,,
VIACOM 'B',10.5,-16.6,S&P 500,,,
VISA 'A',286.2,15.7,S&P 500,,,
VORNADO REALTY TRUST,11.8,-20.7,S&P 500,,,
VULCAN MATERIALS,13,-23,S&P 500,,,
WALGREENS BOOTS ALLIANCE,64.5,-5.9,S&P 500,,,
WALMART,270.6,-5.7,S&P 500,,,
WALT DISNEY,163.2,2,S&P 500,,,
WASTE MANAGEMENT,37.9,3.1,S&P 500,,,
WATERS,14.3,-2.4,S&P 500,,,
WEC ENERGY GROUP,21.9,4.3,S&P 500,,,
WELLCARE HEALTH PLANS,11.8,17.4,S&P 500,,,
WELLS FARGO & CO,216.9,-24,S&P 500,,,
WELLTOWER,26.1,8.8,S&P 500,,,
WESTERN DIGITAL,10.7,-53.5,S&P 500,,,
WESTERN UNION,7.6,-10.3,S&P 500,,,
WESTROCK,9.6,-40.3,S&P 500,,,
WEYERHAEUSER,16.4,-38,S&P 500,,,
WHIRLPOOL,6.8,-36.6,S&P 500,,,
WILLIAMS,26.7,-27.7,S&P 500,,,
WILLIS TOWERS WATSON,19.7,0.8,S&P 500,,,
WW GRAINGER,15.9,19.5,S&P 500,,,
WYNN RESORTS,10.8,-41.3,S&P 500,,,
XCEL ENERGY,25.3,2.4,S&P 500,,,
XEROX,4.7,-32.2,S&P 500,,,
XILINX,21.6,26.3,S&P 500,,,
XYLEM,12,-2.2,S&P 500,,,
YUM! BRANDS,28.7,12.6,S&P 500,,,
ZIMMER BIOMET HDG.,21.2,-14,S&P 500,,,
ZIONS BANCORP.,7.8,-19.9,S&P 500,,,
ZOETIS,41.1,18.7,S&P 500,,,
ADVANTEST,4.1,7.3,Nikkei 225,,,
AEON,17.1,13,Nikkei 225,,,
AGC,7.1,-29.7,Nikkei 225,,,
AJINOMOTO,9.8,-7.7,Nikkei 225,,,
ALPS ALPINE,3.9,-33.7,Nikkei 225,,,
AMADA HOLDINGS,3.4,-35.6,Nikkei 225,,,
ANA HOLDINGS,12.5,-16.3,Nikkei 225,,,
