date,Pearson,Sky,Bloomsbury,Vitesse Media,Totally,highlight,annotate
08/05/08,698.5,530,147,25.5,112.02,,
15/05/08,688,516.5,147,25,124.46,,
22/05/08,672,531.5,150,25,124.46,,
29/05/08,666,539.5,135,25,124.46,,
05/06/08,680,544,139.25,25,112.02,,
12/06/08,648.5,508.5,125.5,25,112.02,,
19/06/08,633.5,504.5,129,23.5,124.46,,
26/06/08,610.5,470.75,141.5,23.5,124.46,,
03/07/08,597.5,458,139.5,23.5,99.57,,
10/07/08,611.5,443.25,150.75,23.5,99.57,,
17/07/08,606,451.75,151,23.25,87.12,,
24/07/08,595.5,466.5,144,23.25,99.57,,
31/07/08,650.5,454.25,154,23.25,87.12,,
07/08/08,649.5,462.75,162,23.25,87.12,,
14/08/08,668.5,481.5,157,23.25,87.12,,
21/08/08,643.5,441.75,164.5,20.25,87.12,,
28/08/08,677.5,460.75,165.75,20.25,99.57,,
04/09/08,675,460,167,20.25,99.57,,
11/09/08,674.5,445.5,171.75,20.25,54.76,,
18/09/08,594,419,161,20.75,54.76,,
25/09/08,605,431.75,167.75,20.75,42.32,,
02/10/08,624.5,429.5,155,20,42.32,,
09/10/08,543.5,400,168.25,19.5,44.81,,
16/10/08,533.5,361.5,163,19.5,44.81,,
23/10/08,602.5,372.25,159,19,44.81,,
30/10/08,595,378,151,19,44.81,,
06/11/08,596.5,404.5,162,19,44.81,,
13/11/08,582,394.75,160.5,19,39.83,,
20/11/08,587,375,165,19,39.83,,
27/11/08,602.5,414.25,157,19,27.38,,
04/12/08,624.5,438.75,152,19,27.38,,
11/12/08,632,471,137.5,19,27.38,,
18/12/08,650.5,478.75,150.5,19,27.38,,
25/12/08,643,468.25,153.5,19,27.38,,
01/01/09,641,480,159.75,18.5,29.87,,
08/01/09,612,475,153.75,18.5,29.87,,
15/01/09,588.5,405.75,157.5,18.5,34.85,,
22/01/09,643,424.25,147,18.5,34.85,,
29/01/09,668.5,500,144,16,37.34,,
05/02/09,672,486.5,141.5,16,37.34,,
12/02/09,655.5,465.25,146,16,37.34,,
19/02/09,641,458,135,16,37.34,,
26/02/09,654.5,470.5,127,16,37.34,,
05/03/09,654.5,448.5,140.5,16,37.34,,
12/03/09,680.5,446.25,137,16,37.34,,
19/03/09,693.5,458.5,134.5,16,34.85,,
26/03/09,697,435.5,135,16,34.85,,
02/04/09,732.5,432.25,119.5,16,32.36,,
09/04/09,687.5,425.75,122.25,16,32.36,,
16/04/09,670,440,127.5,16,32.36,,
23/04/09,674,440.25,125,16,32.36,,
30/04/09,706.5,486.75,125,16,39.83,,
07/05/09,719,481.25,121,16,34.85,,
14/05/09,693,468,120,14.5,39.83,,
21/05/09,671,450.75,127.25,14.5,39.83,,
28/05/09,666.5,452.5,120.5,14.5,39.83,,
04/06/09,631.5,452.75,123.5,14.5,39.83,,
11/06/09,617,449,122.5,14.5,39.83,,
18/06/09,604,431,118,14,34.85,,
25/06/09,614.5,451.75,123.5,14,37.34,,
02/07/09,585.5,454.75,125,13.5,37.34,,
09/07/09,586.5,477.75,128.5,13.5,37.34,,
16/07/09,611.5,490.25,136.25,13.5,37.34,,
23/07/09,623,517,142.5,13.5,37.34,,
30/07/09,684.5,546,139,13.5,34.85,,
06/08/09,704.5,534,136.5,13.5,34.85,,
13/08/09,721,533.5,131,13.5,37.34,,
20/08/09,722.5,542.5,130,13.5,37.34,,
27/08/09,745,540.5,129.75,13.5,37.34,,
03/09/09,735,535.5,135,13.5,37.34,,
10/09/09,744,541,127,13.5,37.34,,
17/09/09,754.5,541.5,125.25,13.5,37.34,,
24/09/09,759,560,120.5,13.5,37.34,,
01/10/09,767.5,573,123.5,13.5,67.21,,
08/10/09,786,581,129.5,12,54.76,,
15/10/09,808,571.5,131,12.25,54.76,,
22/10/09,831,559.5,130,12.25,42.32,,
29/10/09,841,539,128,12.25,42.32,,
05/11/09,843,542.5,132,12.25,42.32,,
12/11/09,845.5,539.5,126.25,12.25,42.32,,
19/11/09,837,540,125,12.25,42.32,,
26/11/09,825,532.5,127,12.25,42.32,,
03/12/09,848,543.5,126.25,12.25,42.32,,
10/12/09,862,564.5,127.5,12.25,42.32,,
17/12/09,863.5,565,125,12.25,42.32,,
24/12/09,878,561.5,129.5,12.25,42.32,,
31/12/09,891,562,126.5,12.25,42.32,,
07/01/10,869.5,568.5,126.5,12.25,42.32,,
14/01/10,887.5,572.5,130,12.25,34.85,,
21/01/10,891.5,560,130,11,34.85,,
28/01/10,874.5,540,130,11,34.85,,
04/02/10,870.5,532.5,128,10.5,34.85,,
11/02/10,865,528,124,10.5,34.85,,
18/02/10,875.5,534.5,125,10.5,34.85,,
25/02/10,898.5,538,125.25,11.5,34.85,,
04/03/10,974,558.5,122.5,11.5,29.87,,
11/03/10,994,569.5,122.5,11.5,29.87,,
18/03/10,1003,588,118,11.5,42.32,,
25/03/10,1036,600,119,10.5,47.3,,
01/04/10,1044,612.5,115,10.5,42.32,,
08/04/10,997.5,602.5,115.5,10,37.34,,
15/04/10,1010,623.5,112,10,49.78,,
22/04/10,1019,628,110,10,44.81,,
29/04/10,1050,625,111.5,10.5,72.19,,
06/05/10,979,600,112.5,10.5,62.23,,
13/05/10,1001,597,108.25,10.5,59.74,,
20/05/10,943,560,106.5,10.5,64.72,,
27/05/10,948,575.5,109.5,9,59.74,,
03/06/10,958.5,580,108,9,52.27,,
10/06/10,938,585.5,116.5,9,49.78,,
17/06/10,956.5,699,113.5,9,47.3,,
24/06/10,927,702,112,9,49.78,,
01/07/10,864,695.5,115,9,44.81,,
08/07/10,907,694.5,114,9,37.34,,
15/07/10,936.5,699.5,116,9,37.34,,
22/07/10,962,700,114,9,37.34,,
29/07/10,1012,711,115.75,9,37.34,,
05/08/10,1020,708.5,126.5,9,45.8,,
12/08/10,983.5,706,118,9,47.3,,
19/08/10,952,706,111.25,9.25,37.34,,
26/08/10,948.5,706,112,9.25,34.85,,
02/09/10,996.5,710.5,110,9.25,34.85,,
09/09/10,1010,717,115,9.25,34.85,,
16/09/10,1011,709.5,119.75,9,39.83,,
23/09/10,994.5,708,115.5,9,39.83,,
30/09/10,985.5,705.5,117.75,9,39.83,,Label 1
07/10/10,991.5,707.5,124.5,9,39.83,,
14/10/10,991,707,125,9.25,39.83,,
21/10/10,986,697.5,125,9.25,39.83,,
28/10/10,954.5,706,126,9.25,39.83,,
04/11/10,973.5,711.5,124,9.25,47.3,,
11/11/10,957,726.5,117,9.25,60.24,,
18/11/10,937.5,726,113.25,9.25,54.76,,
25/11/10,954.5,721,115,9.25,54.76,,
02/12/10,982,729,119.25,9.25,57.25,,
09/12/10,1014,736,117,9.25,57.25,,
16/12/10,1024,731,122,9.25,57.25,,
23/12/10,1027,742,122.5,9.25,44.81,,
30/12/10,1015,736,122.25,9.25,54.76,,
06/01/11,1013,746,123,9.25,64.72,,
13/01/11,1010,740.5,120,9,64.72,,
20/01/11,1039,746,116.75,9,57.25,,
27/01/11,1049,762.5,117,7,47.3,,
03/02/11,1040,767.5,114,7,72.19,,
10/02/11,1060,759,114,7,60.24,,
17/02/11,1048,749,115,8,67.21,,
24/02/11,1013,755.5,112.5,8,77.17,,
03/03/11,1054,823,124.25,8,77.17,,
10/03/11,1105,827,120,8,69.7,,
17/03/11,1054,821,118.75,8,62.23,,
24/03/11,1077,828,127.13,8,59.74,,
31/03/11,1101,825,130,8,54.76,,
07/04/11,1098,833.5,131.5,8,59.74,,
14/04/11,1106,834.5,132,8,59.74,,
21/04/11,1131,835,131,8,64.72,,
28/04/11,1151,842,135,8,64.72,,
05/05/11,1125,839,135,8,64.72,,
12/05/11,1160,840,135.5,8,62.23,,
19/05/11,1158,842.5,132,8,62.23,,
26/05/11,1121,838,132,8,57.25,,
02/06/11,1135,828.5,128,8,57.25,,
09/06/11,1161,835.5,130,8.5,57.25,,
16/06/11,1146,826.5,129,8.5,57.25,,
23/06/11,1133,835,128,8.5,54.76,,
30/06/11,1176,846.5,129.75,8.5,62.23,,
07/07/11,1202,812,133,8.5,62.23,,
14/07/11,1156,696,114.37,8.5,69.7,,
21/07/11,1155,741,114.25,8.5,67.21,,
28/07/11,1139,716,113,8.5,59.74,,
04/08/11,1119,659.5,102,8.5,59.74,,
11/08/11,1077,654,104.5,8.5,57.25,,
18/08/11,1038,634.5,102.75,8.5,57.25,,
25/08/11,1063,622,100,7.5,57.25,,
01/09/11,1122,673,100,7.5,57.25,,
08/09/11,1097,669,100.5,7.5,57.25,,
15/09/11,1110,699.5,101.25,7.5,57.25,,
22/09/11,1116,668.5,99,7,54.76,,
29/09/11,1144,682.5,98,7,54.76,,
06/10/11,1156,689.5,97,5.5,42.32,,
13/10/11,1162,679.5,98.25,4.75,39.83,,
20/10/11,1135,725,97.75,4.75,39.83,,
27/10/11,1185,729,99.75,4.75,47.3,,
03/11/11,1148,733,95.13,4.75,47.3,,
10/11/11,1119,738.5,96.25,4.75,47.3,,
17/11/11,1102,721,97,4.75,59.74,,
24/11/11,1069,715.5,95,4.75,57.25,,
01/12/11,1135,766,94.75,4.75,57.25,,
08/12/11,1133,734.5,97.25,4.75,54.76,,
15/12/11,1134,725,98.38,4.75,54.76,,
22/12/11,1191,712.5,99,4.75,52.27,,
29/12/11,1222,734.5,98.38,4.75,52.27,,
05/01/12,1212,721,95,4.75,72.19,,
12/01/12,1222,697.5,92.5,4.75,72.19,,
19/01/12,1230,666.5,103,4.25,67.21,,
26/01/12,1177,671.5,109.5,4.25,74.68,,
02/02/12,1196,686,112,4.25,64.72,,
09/02/12,1202,701,114,4.25,151.84,,
16/02/12,1221,689.5,124,4.25,112.02,,
23/02/12,1233,687.5,121.75,3.5,107.04,,
01/03/12,1211,674.5,121.25,3.75,107.04,,
08/03/12,1209,694,117.25,3.63,109.53,,
15/03/12,1210,693.5,115.25,3.75,112.02,,
22/03/12,1205,693.5,113.75,3.75,97.08,,
29/03/12,1170,667,109.5,3.75,94.59,,
05/04/12,1135,635.5,109.5,3.25,92.1,,
12/04/12,1134,662,109.87,3.25,82.14,,
19/04/12,1113,665.5,109.87,3.75,87.12,,
26/04/12,1150,667.5,106.75,3.75,87.12,,
03/05/12,1166,704,108,3.63,84.63,,
10/05/12,1163,692,109,3.63,74.68,,
17/05/12,1143,689,105,3.5,72.19,,
24/05/12,1137,699.5,115,3.5,84.63,,
31/05/12,1137,688,114,3.5,92.1,,
07/06/12,1148,681,112,3.5,79.66,,
14/06/12,1184,671,113,3.5,74.68,,
21/06/12,1210,678.5,113.25,3.5,84.63,,
28/06/12,1243,680,115,3.75,79.66,,
05/07/12,1250,687.5,115,3.75,94.59,,
12/07/12,1249,688,115,3.75,116.99,,
19/07/12,1290,693.5,128,3.75,149.35,,
26/07/12,1294,706.5,135,3.75,109.53,,
02/08/12,1223,723.5,129,3.75,126.95,,
09/08/12,1235,752,135,3.75,126.95,,
16/08/12,1212,766,140,3.75,139.4,,
23/08/12,1212,760.5,145.25,3.25,136.91,,
30/08/12,1201,760,136.25,3.25,134.42,,
06/09/12,1202,769.5,130.25,3.25,121.97,,
13/09/12,1179,744,134.5,3.25,121.97,,
20/09/12,1182,734,133,3.25,159.31,,
27/09/12,1217,751,134,3.25,139.4,,
04/10/12,1252,761,134.5,3.25,129.44,,
11/10/12,1248,751,131.25,3.13,131.93,,
18/10/12,1215,733.5,140,3.13,149.35,,
25/10/12,1212,720,131.75,3.13,141.89,,
01/11/12,1252,759,126.75,2.88,129.44,,
08/11/12,1230,749.5,123,2.88,134.42,,
15/11/12,1189,746,120,2.75,129.44,,
22/11/12,1175,766,120,2.75,129.44,,
29/11/12,1175,771.5,120,2.75,146.86,,
06/12/12,1190,766.5,118.75,2.63,141.89,,
13/12/12,1184,761,119.88,2.63,126.95,,
20/12/12,1200,780,119,2.63,116.99,,
27/12/12,1196,780.5,117,2.63,109.53,,
03/01/13,1211,780.5,118.25,2.63,112.02,,
10/01/13,1193,773.5,118,2.63,161.8,,
17/01/13,1232,790.5,121,2.63,149.35,,
24/01/13,1187,794,122.75,2.38,144.37,,
31/01/13,1194,817.5,115,2.13,161.8,,
07/02/13,1203,818,112,2.13,156.82,,
14/02/13,1207,831,110.13,2.25,154.33,,
21/02/13,1222,824.5,108,2.13,139.4,,
28/02/13,1155,850.5,104,1.88,139.4,,
07/03/13,1165,866.5,108,1.88,121.97,,
14/03/13,1204,881,106.75,2.13,119.48,,
21/03/13,1172,886.5,113,2.13,136.91,,
28/03/13,1184,883,115,1.65,136.91,,
04/04/13,1142,878.5,116.25,1.63,136.91,,
11/04/13,1155,864,115,1.63,136.91,,
18/04/13,1119,836.5,113.38,1.63,136.91,,
25/04/13,1149,850,114.5,2,119.48,,
02/05/13,1169,851,115,2,144.37,,
09/05/13,1186,809,117.5,2.13,144.37,,
16/05/13,1204,795,118,2.13,166.78,,
23/05/13,1217,791.5,121,2.13,156.82,,
30/05/13,1238,782,130,2.13,164.29,,
06/06/13,1177,764,126.25,2,139.4,,
13/06/13,1179,792,121,2.25,129.44,,
20/06/13,1162,775,125.75,2.25,131.93,,
27/06/13,1154,790,127.75,2.25,121.97,,
04/07/13,1206,812.5,127.5,2.13,131.93,,
11/07/13,1242,826.5,133.5,2.13,129.44,,
18/07/13,1264,845,137.5,2.13,116.99,,
25/07/13,1252,850,134,1.75,109.53,,
01/08/13,1344,833,139.5,1.75,102.06,,
08/08/13,1324,841,140.63,2,89.61,,
15/08/13,1313,830,140.5,1.63,89.61,,
22/08/13,1325,827,141,1.63,82.14,,
29/08/13,1280,847,137,1.63,74.68,,
05/09/13,1285,851.5,142.75,1.75,79.66,,
12/09/13,1275,857.5,144.25,2,67.21,,
19/09/13,1286,861.5,146.5,2,64.72,,
26/09/13,1253,877.5,147.25,2.25,72.19,,
03/10/13,1226,881.5,154.5,2.25,72.19,,
10/10/13,1297,869.5,165.75,2.13,59.74,,
17/10/13,1317,940,168.5,2.13,67.21,,
24/10/13,1355,950,171.75,2.13,62.23,,
31/10/13,1304,937.5,172.5,2.13,64.72,,
07/11/13,1293,934.5,174.75,2.13,74.68,,
14/11/13,1325,818.5,174.75,2.13,77.17,,
21/11/13,1342,834,168.5,2.13,67.21,,
28/11/13,1352,819.5,170.88,2.13,69.7,,
05/12/13,1287,789.5,171.75,2.13,69.7,,
12/12/13,1271,788,174.75,2.13,67.21,,
19/12/13,1300,793,177.75,2.13,64.72,,
26/12/13,1326,833,176.25,2.13,54.76,,
02/01/14,1340,843.5,175.25,2.13,62.23,,
09/01/14,1305,824.5,168,2.13,54.76,,
16/01/14,1291,845,167.25,2.13,52.27,,
23/01/14,1191,854.5,168.5,2.13,62.23,,
30/01/14,1115,878,173,2.75,52.27,,
06/02/14,1086,893.5,170,2.75,52.27,,
13/02/14,1115,891.5,177,2.75,57.25,,
20/02/14,1110,917,178.75,2.75,57.25,,
27/02/14,1076,939.5,174.38,3.63,69.7,,
06/03/14,1033,932,175.25,7,72.19,,
13/03/14,998.5,914.5,175.25,5.88,64.72,,
20/03/14,999.5,942,176,5,69.7,,
27/03/14,1026,930,174.75,4.63,77.17,,
03/04/14,1008,892.5,174,4.75,69.7,,
10/04/14,1041,887.5,169.25,4.75,87.12,,
17/04/14,1062,890,167.12,4.75,74.68,,
24/04/14,1050,893.5,169,4.75,72.19,,
01/05/14,1102,900.5,158.25,4.88,62.23,,
08/05/14,1118,889,150.25,5,62.23,,
15/05/14,1150,850,167,5,54.76,,
22/05/14,1144,872.5,163.5,4.88,62.23,,
29/05/14,1164,885.5,167,4.88,69.7,,
05/06/14,1148,872,167,4.88,69.7,,
12/06/14,1129,876,166.5,4.88,64.72,,
19/06/14,1123,871.5,188.5,4.88,59.74,,
26/06/14,1144,889.5,178.75,4.75,59.74,,
03/07/14,1143,903,177.75,4.75,52.27,,
10/07/14,1092,869.5,165.75,4.75,57.25,,
17/07/14,1109,897.5,173.5,4.75,54.76,,
24/07/14,1101,925,175,4.75,62.23,,
31/07/14,1141,879,176.25,4.88,59.74,,
07/08/14,1119,850,171.75,4.88,62.23,,
14/08/14,1120,854,171,4.88,59.74,,
21/08/14,1125,861.5,177.13,4.5,57.25,,
28/08/14,1111,871,179.38,4.38,54.76,,
04/09/14,1109,885,173.5,3.75,49.78,,
11/09/14,1154,868,170.5,3.75,49.78,,
18/09/14,1218,884,164.25,3.75,49.78,,
25/09/14,1230,872.5,166,3.75,39.83,,
02/10/14,1204,875,165.25,3.63,34.85,,
09/10/14,1173,892.5,165,3.63,34.85,,
16/10/14,1132,850,159.25,3.13,32.36,,
23/10/14,1169,859.5,154.25,3.13,37.34,,
30/10/14,1160,882,157,3,39.83,,
06/11/14,1186,885,162,3.13,39.83,,
13/11/14,1201,850.5,161.25,3.13,34.85,,
20/11/14,1220,897,163.88,3.13,34.85,,
27/11/14,1224,922.5,162.75,3.75,34.85,,
04/12/14,1212,926,161,3.13,34.85,,
11/12/14,1170,918,160,3.13,29.87,,
18/12/14,1190,900,161,2.88,29.87,,
25/12/14,1179,899,162.5,2.88,32.36,,
01/01/15,1190,899,162.13,2.88,32.36,begin,
08/01/15,1163,887,152.38,2.88,37.34,,
15/01/15,1200,919.5,156.25,2.88,24.89,,
22/01/15,1318,936.5,152,2.88,34.85,,
29/01/15,1361,934,149,2.88,34.85,,
05/02/15,1358,960,149.75,2.63,32.36,,
12/02/15,1375,927.5,151.25,2.63,24.89,,
19/02/15,1398,956,149.25,2.88,27.38,,
26/02/15,1396,998.5,148.75,2.75,27.38,,
05/03/15,1454,1003,153,2.5,24.89,,
12/03/15,1448,991,145.25,2.5,24.89,,
19/03/15,1493,1027,151.25,2.5,22.4,,
26/03/15,1479,1006,153.75,2.38,17.42,,
02/04/15,1436,997,150,2.38,24.89,,
09/04/15,1466,1045,159.75,2.38,24.89,,
16/04/15,1370,1047,160.25,2.38,19.91,,
23/04/15,1402,1090,161.75,2.25,17.42,,
30/04/15,1320,1077,167.5,2.25,27.38,,
07/05/15,1309,1067,173.5,2.25,22.4,,
14/05/15,1323,1077,178,2.13,25.89,,
21/05/15,1342,1087,177.25,2.13,24.89,,
28/05/15,1335,1068,184.5,3.13,32.36,,
04/06/15,1287,1040,179,3.25,29.87,,
11/06/15,1286,1039,177,3.13,29.87,,
18/06/15,1253,1038,176.5,3.13,29.87,,
25/06/15,1271,1069,168.25,3.13,24.89,,
02/07/15,1215,1051,161.25,2.75,27.38,,
09/07/15,1216,1044,158,2.75,24.89,,
16/07/15,1263,1140,162,2.25,19.91,,
23/07/15,1234,1136,163.25,2.13,27.38,,
30/07/15,1193,1119,164.13,1.5,29.87,,
06/08/15,1196,1100,164.5,1.63,24.89,,
13/08/15,1151,1079,169.63,1.88,21.41,,
20/08/15,1143,1064,173,1.75,22.4,,
27/08/15,1106,1039,170.75,1.75,29.87,,
03/09/15,1107,1030,169.25,1.75,32.36,,
10/09/15,1149,1033,165.5,1.63,27.38,,
17/09/15,1131,1014,168.75,1.88,32.86,,
24/09/15,1098,1017,169.5,1.88,32.86,,
01/10/15,1152,1041,169.25,1.88,32.86,,
08/10/15,1213,1083,169.5,1.63,32.86,,
15/10/15,1189,1074,169,1.75,32.86,,Label 2
22/10/15,950,1092,168,1.75,37.34,,
29/10/15,875.5,1104,167.25,1.25,44.31,,
05/11/15,847.5,1084,167.75,1.25,41.32,,
12/11/15,774,1078,163.5,1.25,43.81,,
19/11/15,815,1103,160.25,1.13,43.81,,
26/11/15,834.5,1118,159.5,1.13,41.82,,
03/12/15,801.5,1111,160,1.13,39.83,,
10/12/15,737,1076,158.38,1.13,39.83,,
17/12/15,751.5,1102,156.5,1.13,41.82,,
24/12/15,768,1099,154,1.13,41.82,,
31/12/15,736,1112,150.5,1.13,41.82,end,
07/01/16,699,1084,151.75,1.13,72.69,,
14/01/16,719.5,1057,147.25,1.25,65.72,,
21/01/16,772,1012,147,1.63,68.2,,
28/01/16,777,1041,145.5,1.38,68.7,,
04/02/16,780.5,1066,148.75,2.5,68.2,,
11/02/16,719.5,976,148.5,2.25,63.72,,
18/02/16,796.5,1020,153.5,1.88,55.76,,
25/02/16,801.5,1026,155.5,2.13,56.75,,
03/03/16,857,1030,153,2.13,59.74,,
10/03/16,850,984.5,147.25,1.88,69.7,,
17/03/16,896.5,1013,150,1.63,78.16,,
24/03/16,883,1016,147.25,1.63,70.69,,
31/03/16,875,1024,147.25,1.63,69.7,,
07/04/16,825,1019,147,1.63,71.19,,
14/04/16,835.5,1008,148.13,1.75,67.71,,
21/04/16,834.5,985,156,1.63,62.23,,
28/04/16,814.5,944,155.25,1.38,62.23,,
05/05/16,805,933.5,152,2.38,62.73,,
12/05/16,806,926,150.88,2.25,63.23,,
19/05/16,802.5,921,151,2.38,60.24,,
26/05/16,825.5,971.5,163.5,2.75,57.75,,
02/06/16,849.5,939,164,2.75,52.77,,
09/06/16,818.5,955,161.38,2.88,53.27,,
16/06/16,807.5,851.5,151.5,3.13,61.23,,
23/06/16,888,893.5,161.5,2.88,62.23,,
30/06/16,967,848,160.25,2.75,59.74,,
07/07/16,948,848,160,3.63,62.73,,
14/07/16,953.5,872,164.75,3.88,62.73,,
21/07/16,963,867,167.5,4.13,67.21,,
28/07/16,970,904,167.5,4.13,65.72,,
04/08/16,893.5,909.5,168.75,4.25,61.73,,
11/08/16,890,884.5,178.5,4.75,61.73,,
18/08/16,863,855,175.5,4.75,58.25,,
25/08/16,862,873,170,4.13,59.74,,
01/09/16,858.5,852.5,163,4.13,69.7,,
08/09/16,797,862,163.5,3.88,65.72,,
15/09/16,780,833,159,3.63,64.72,,
22/09/16,774,862,155.75,3.38,67.21,,
29/09/16,749.5,910.5,156.25,3.38,64.22,,
06/10/16,794,901,153,4.13,55.76,,
13/10/16,814,848,150,3.75,61.23,,
20/10/16,765.5,825,149,3.75,58.75,,
27/10/16,743,820.5,149.75,3.88,56.75,,
03/11/16,736,811,152,3.88,59.24,,
10/11/16,749.5,790,153.5,3.75,57.25,,
17/11/16,760.5,784.5,156.5,3.13,56.26,,
24/11/16,783.5,757.5,157.25,3.13,57.75,,
01/12/16,782.5,773.5,163.75,3.13,59.74,,
08/12/16,780.5,789.5,160.75,3.25,56.75,,
15/12/16,815,988,165.75,3.25,57.75,,
22/12/16,819,988.5,167,3.38,53.77,,
29/12/16,818.5,989,168.25,2.88,53.77,,
05/01/17,812.5,990,169.25,2.88,54.27,,
12/01/17,813,990.5,166,2.63,55.76,,
19/01/17,588.5,999,163,2.75,56.26,,
26/01/17,622,1004,169,2.88,56.26,,
02/02/17,643,1005,169,2.88,56.26,,
09/02/17,660,1000,170.63,2.88,58.25,,
16/02/17,660,998,170,2.88,58.25,,
23/02/17,646,1000,170.75,2.88,57.75,,
02/03/17,687.5,998.5,172.5,2.88,58.5,,
09/03/17,678,996.5,171.88,2.88,59,,
16/03/17,659,991,172.5,2.88,59,,
23/03/17,635,982.5,174,2.88,59,,
30/03/17,668,977,177.75,2.88,59.5,,
06/04/17,637,962,172.5,2.88,58.5,,
