id,constituency,county,region,country,Conservative Party,Liberal Democrats,Labour 
E14000691,ENFIELD NORTH,London,London,England,0.37,0.02,0.58
E14000692,"ENFIELD, SOUTHGATE",London,London,England,0.43,0.04,0.52
E14000693,EPPING FOREST,Essex,Eastern,England,0.62,0.06,0.26
E14000694,EPSOM AND EWELL,Surrey,South East,England,0.60,0.12,0.25
E14000695,EREWASH,Derbyshire,East Midlands,England,0.52,0.02,0.43
E14000696,ERITH AND THAMESMEAD,London,London,England,0.35,0.02,0.58
E14000697,ESHER AND WALTON,Surrey,South East,England,0.59,0.17,0.20
E14000698,EXETER,Devon,South West,England,0.33,0.03,0.62
E14000699,FAREHAM,Hampshire,South East,England,0.63,0.07,0.25
E14000700,FAVERSHAM AND MID KENT,Kent,South East,England,0.61,0.07,0.26
E14000701,FELTHAM AND HESTON,London,London,England,0.32,0.03,0.61
E14000702,FILTON AND BRADLEY STOKE,Avon,South West,England,0.50,0.06,0.42
E14000703,FINCHLEY AND GOLDERS GREEN,London,London,England,0.47,0.07,0.44
E14000704,FOLKESTONE AND HYTHE,Kent,South East,England,0.55,0.07,0.29
E14000705,FOREST OF DEAN,Gloucestershire,South West,England,0.54,0.04,0.36
E14000706,FYLDE,Lancashire,North West,England,0.59,0.05,0.33
E14000707,GAINSBOROUGH,Lincolnshire,East Midlands,England,0.62,0.07,0.29
E14000708,GARSTON AND HALEWOOD,Merseyside,North West,England,0.18,0.03,0.78
E14000709,GATESHEAD,Tyne and Wear,North East,England,0.24,0.04,0.65
E14000710,GEDLING,Nottinghamshire,East Midlands,England,0.43,0.02,0.52
E14000711,GILLINGHAM AND RAINHAM,Kent,South East,England,0.55,0.03,0.36
E14000712,GLOUCESTER,Gloucestershire,South West,England,0.50,0.05,0.40
E14000713,GOSPORT,Hampshire,South East,England,0.62,0.05,0.27
E14000714,GRANTHAM AND STAMFORD,Lincolnshire,East Midlands,England,0.62,0.06,0.26
E14000715,GRAVESHAM,Kent,South East,England,0.56,0.02,0.37
E14000716,GREAT GRIMSBY,Humberside,Yorkshire and The Humber,England,0.42,0.03,0.49
E14000717,GREAT YARMOUTH,Norfolk,Eastern,England,0.54,0.02,0.36
E14000718,GREENWICH AND WOOLWICH,London,London,England,0.25,0.07,0.64
E14000719,GUILDFORD,Surrey,South East,England,0.55,0.24,0.19
E14000720,HACKNEY NORTH AND STOKE NEWINGTON,London,London,England,0.13,0.07,0.75
E14000721,HACKNEY SOUTH AND SHOREDITCH,London,London,England,0.11,0.06,0.79
E14000722,HALESOWEN AND ROWLEY REGIS,West Midlands,West Midlands,England,0.52,0.02,0.40
E14000723,HALIFAX,West Yorkshire,Yorkshire and The Humber,England,0.42,0.02,0.53
E14000724,HALTEMPRICE AND HOWDEN,Humberside,Yorkshire and The Humber,England,0.61,0.05,0.31
E14000725,HALTON,Cheshire,North West,England,0.22,0.02,0.73
E14000726,HAMMERSMITH,London,London,England,0.28,0.05,0.64
E14000727,HAMPSTEAD AND KILBURN,London,London,England,0.32,0.07,0.59
E14000728,HARBOROUGH,Leicestershire,East Midlands,England,0.52,0.13,0.31
E14000729,HARLOW,Essex,Eastern,England,0.54,0.02,0.38
E14000730,HARROGATE AND KNARESBOROUGH,North Yorkshire,Yorkshire and The Humber,England,0.55,0.23,0.20
E14000731,HARROW EAST,London,London,England,0.49,0.03,0.46
E14000732,HARROW WEST,London,London,England,0.34,0.03,0.61
E14000733,HARTLEPOOL,Cleveland,North East,England,0.34,0.02,0.53
E14000734,HARWICH AND NORTH ESSEX,Essex,Eastern,England,0.59,0.05,0.30
E14000735,HASTINGS AND RYE,East Sussex,South East,England,0.47,0.03,0.46
E14000736,HAVANT,Hampshire,South East,England,0.60,0.06,0.25
E14000737,HAYES AND HARLINGTON,London,London,England,0.29,0.01,0.67
E14000738,HAZEL GROVE,Greater Manchester,North West,England,0.45,0.33,0.20
E14000739,HEMEL HEMPSTEAD,Hertfordshire,Eastern,England,0.55,0.06,0.37
E14000740,HEMSWORTH,West Yorkshire,Yorkshire and The Humber,England,0.34,0.02,0.56
E14000741,HENDON,London,London,England,0.48,0.04,0.46
E14000742,HENLEY,Oxfordshire,South East,England,0.59,0.15,0.20
E14000743,HEREFORD AND SOUTH HEREFORDSHIRE,Hereford and Worcester,West Midlands,England,0.53,0.07,0.24
E14000744,HERTFORD AND STORTFORD,Hertfordshire,Eastern,England,0.60,0.08,0.29
E14000745,HERTSMERE,Hertfordshire,Eastern,England,0.61,0.05,0.29
E14000746,HEXHAM,Northumberland,North East,England,0.54,0.07,0.34
E14000747,HEYWOOD AND MIDDLETON,Greater Manchester,North West,England,0.38,0.02,0.53
E14000748,HIGH PEAK,Derbyshire,East Midlands,England,0.45,0.05,0.50
E14000749,HITCHIN AND HARPENDEN,Hertfordshire,Eastern,England,0.53,0.11,0.33
E14000750,HOLBORN AND ST PANCRAS,London,London,England,0.18,0.07,0.70
E14000751,HORNCHURCH AND UPMINSTER,London,London,England,0.60,0.02,0.29
E14000752,HORNSEY AND WOOD GREEN,London,London,England,0.15,0.16,0.65
E14000753,HORSHAM,West Sussex,South East,England,0.60,0.12,0.22
E14000754,HOUGHTON AND SUNDERLAND SOUTH,Tyne and Wear,North East,England,0.30,0.02,0.59
E14000755,HOVE,East Sussex,South East,England,0.32,0.02,0.64
E14000756,HUDDERSFIELD,West Yorkshire,Yorkshire and The Humber,England,0.33,0.03,0.60
E14000757,HUNTINGDON,Cambridgeshire,Eastern,England,0.55,0.09,0.31
E14000758,HYNDBURN,Lancashire,North West,England,0.40,0.02,0.53
E14000759,ILFORD NORTH,London,London,England,0.40,0.02,0.58
E14000760,ILFORD SOUTH,London,London,England,0.21,0.01,0.76
E14000761,IPSWICH,Suffolk,Eastern,England,0.46,0.02,0.47
E14000762,ISLE OF WIGHT,Isle of Wight,South East,England,0.51,0.04,0.23
E14000763,ISLINGTON NORTH,London,London,England,0.13,0.09,0.73
E14000764,ISLINGTON SOUTH AND FINSBURY,London,London,England,0.21,0.12,0.63
E14000765,JARROW,Tyne and Wear,North East,England,0.25,0.03,0.65
E14000766,KEIGHLEY,West Yorkshire,Yorkshire and The Humber,England,0.46,0.02,0.47
E14000767,KENILWORTH AND SOUTHAM,Warwickshire,West Midlands,England,0.61,0.10,0.26
E14000768,KENSINGTON,London,London,England,0.42,0.12,0.42
E14000769,KETTERING,Northamptonshire,East Midlands,England,0.58,0.03,0.37
E14000770,KINGSTON AND SURBITON,London,London,England,0.38,0.45,0.15
E14000771,KINGSTON UPON HULL EAST,Humberside,Yorkshire and The Humber,England,0.30,0.03,0.58
E14000772,KINGSTON UPON HULL NORTH,Humberside,Yorkshire and The Humber,England,0.25,0.05,0.64
E14000773,KINGSTON UPON HULL WEST AND HESSLE,Humberside,Yorkshire and The Humber,England,0.30,0.06,0.53
E14000774,KINGSWOOD,Avon,South West,England,0.55,0.04,0.40
E14000775,KNOWSLEY,Merseyside,North West,England,0.09,0.02,0.85
E14000776,LANCASTER AND FLEETWOOD,Lancashire,North West,England,0.41,0.03,0.55
E14000777,LEEDS CENTRAL,West Yorkshire,Yorkshire and The Humber,England,0.20,0.02,0.70
E14000778,LEEDS EAST,West Yorkshire,Yorkshire and The Humber,England,0.31,0.02,0.61
